participant,condition,char,RT
ESU_04182025,D_fast,H,506
ESU_04182025,ND_fast,H,767
JBO_04172025,D_fast,H,506
JBO_04172025,ND_fast,H,806
JCN_04192025,D_fast,H,445
JCN_04192025,ND_fast,H,871
JMY_03312025,D_fast,H,422
JMY_03312025,ND_fast,H,917
JPK_04182025,D_fast,H,437
JPK_04182025,ND_fast,H,832
JWG_03272025,D_fast,H,499
JWG_03272025,ND_fast,H,798
JXI_04182025,D_fast,H,391
JXI_04182025,ND_fast,H,690
KCA_04072025,D_fast,H,449
KCA_04072025,ND_fast,H,905
KHT_04072025,D_fast,H,472
KHT_04072025,ND_fast,H,1009
KSN_04042025,D_fast,H,533
KSN_04042025,ND_fast,H,1059
MAO_04192025,D_fast,H,713
MAO_04192025,ND_fast,H,763
MHE_04032025,D_fast,H,625
MHE_04032025,ND_fast,H,886
MSN_04092025,D_fast,H,560
MSN_04092025,ND_fast,H,905
NMS_04112025,D_fast,H,610
NMS_04112025,ND_fast,H,760
OMY_04202025,D_fast,H,464
OMY_04202025,ND_fast,H,1005
TCO_03272025,D_fast,H,568
TCO_03272025,ND_fast,H,863
YWG_03262025,D_fast,H,460
YWG_03262025,ND_fast,H,994
AMS_04142025,D_fast,I,468
AMS_04142025,ND_fast,I,1247
APM_04072025,D_fast,I,625
APM_04072025,ND_fast,I,763
ARI_04162025,D_fast,I,595
ARI_04162025,ND_fast,I,817
CJG_03242025,D_fast,I,503
CJG_03242025,ND_fast,I,928
CKM_04162025,D_fast,I,602
CKM_04162025,ND_fast,I,713
CLE_03272025,D_fast,I,575
CLE_03272025,ND_fast,I,802
EBZ_04182025,D_fast,I,733
EBZ_04182025,ND_fast,I,683
ESU_04182025,D_fast,I,495
ESU_04182025,ND_fast,I,852
JBO_04172025,D_fast,I,526
JBO_04172025,ND_fast,I,890
JCN_04192025,D_fast,I,426
JCN_04192025,ND_fast,I,713
JMY_03312025,D_fast,I,460
JMY_03312025,ND_fast,I,794
JPK_04182025,D_fast,I,479
JPK_04182025,ND_fast,I,690
JWG_03272025,D_fast,I,503
JWG_03272025,ND_fast,I,760
JXI_04182025,D_fast,I,468
JXI_04182025,ND_fast,I,679
KCA_04072025,D_fast,I,460
KCA_04072025,ND_fast,I,752
KHT_04072025,D_fast,I,598
KHT_04072025,ND_fast,I,713
KSN_04042025,D_fast,I,545
KSN_04042025,ND_fast,I,840
