participant,condition,char,RT
EBZ_04182025,D_slow,H,790
EBZ_04182025,ND_slow,H,1485
ESU_04182025,D_slow,H,529
ESU_04182025,ND_slow,H,1258
JBO_04172025,D_slow,H,648
JBO_04172025,ND_slow,H,1699
JCN_04192025,D_slow,H,479
JCN_04192025,ND_slow,H,1511
JMY_03312025,D_slow,H,671
JMY_03312025,ND_slow,H,1235
JPK_04182025,D_slow,H,878
JPK_04182025,ND_slow,H,1462
JWG_03272025,D_slow,H,1086
JWG_03272025,ND_slow,H,2175
JXI_04182025,D_slow,H,744
JXI_04182025,ND_slow,H,1523
KCA_04072025,D_slow,H,610
KCA_04072025,ND_slow,H,1181
KHT_04072025,D_slow,H,878
KHT_04072025,ND_slow,H,2459
KSN_04042025,D_slow,H,890
KSN_04042025,ND_slow,H,1830
MAO_04192025,D_slow,H,790
MAO_04192025,ND_slow,H,1450
MHE_04032025,D_slow,H,1166
MHE_04032025,ND_slow,H,2125
MSN_04092025,D_slow,H,813
MSN_04092025,ND_slow,H,1078
NMS_04112025,D_slow,H,878
NMS_04112025,ND_slow,H,1266
OMY_04202025,D_slow,H,683
OMY_04202025,ND_slow,H,1914
TCO_03272025,D_slow,H,1178
TCO_03272025,ND_slow,H,2052
YWG_03262025,D_slow,H,487
YWG_03262025,ND_slow,H,2187
AMS_04142025,D_slow,I,610
AMS_04142025,ND_slow,I,1270
APM_04072025,D_slow,I,844
APM_04072025,ND_slow,I,1818
ARI_04162025,D_slow,I,901
ARI_04162025,ND_slow,I,1719
CJG_03242025,D_slow,I,1262
CJG_03242025,ND_slow,I,3004
CKM_04162025,D_slow,I,744
CKM_04162025,ND_slow,I,1703
CLE_03272025,D_slow,I,683
CLE_03272025,ND_slow,I,2532
EBZ_04182025,D_slow,I,882
EBZ_04182025,ND_slow,I,1381
ESU_04182025,D_slow,I,637
ESU_04182025,ND_slow,I,1653
JBO_04172025,D_slow,I,717
JBO_04172025,ND_slow,I,1584
JCN_04192025,D_slow,I,476
JCN_04192025,ND_slow,I,1358
JMY_03312025,D_slow,I,775
JMY_03312025,ND_slow,I,1197
JPK_04182025,D_slow,I,955
JPK_04182025,ND_slow,I,1462
JWG_03272025,D_slow,I,1074
JWG_03272025,ND_slow,I,1814
JXI_04182025,D_slow,I,690
JXI_04182025,ND_slow,I,1362
KCA_04072025,D_slow,I,526
KCA_04072025,ND_slow,I,1903
KHT_04072025,D_slow,I,1193
KHT_04072025,ND_slow,I,2701
KSN_04042025,D_slow,I,913
KSN_04042025,ND_slow,I,2144
MAO_04192025,D_slow,I,859
MAO_04192025,ND_slow,I,1442
MHE_04032025,D_slow,I,1124
MHE_04032025,ND_slow,I,2229
MSN_04092025,D_slow,I,821
MSN_04092025,ND_slow,I,1166
NMS_04112025,D_slow,I,625
NMS_04112025,ND_slow,I,1381
OMY_04202025,D_slow,I,924
OMY_04202025,ND_slow,I,2079
TCO_03272025,D_slow,I,1143
TCO_03272025,ND_slow,I,1784
YWG_03262025,D_slow,I,572
YWG_03262025,ND_slow,I,2547
AMS_04142025,D_slow,J,334
AMS_04142025,ND_slow,J,1243
APM_04072025,D_slow,J,460
APM_04072025,ND_slow,J,1508
ARI_04162025,D_slow,J,656
ARI_04162025,ND_slow,J,1335
CJG_03242025,D_slow,J,809
CJG_03242025,ND_slow,J,1876
CKM_04162025,D_slow,J,598
CKM_04162025,ND_slow,J,1258
CLE_03272025,D_slow,J,518
CLE_03272025,ND_slow,J,1765
EBZ_04182025,D_slow,J,687
EBZ_04182025,ND_slow,J,1707
ESU_04182025,D_slow,J,468
ESU_04182025,ND_slow,J,1254
JBO_04172025,D_slow,J,644
JBO_04172025,ND_slow,J,1776
JCN_04192025,D_slow,J,384
JCN_04192025,ND_slow,J,1063
JMY_03312025,D_slow,J,598
JMY_03312025,ND_slow,J,967
JPK_04182025,D_slow,J,721
JPK_04182025,ND_slow,J,1220
JWG_03272025,D_slow,J,706
JWG_03272025,ND_slow,J,1738
JXI_04182025,D_slow,J,506
JXI_04182025,ND_slow,J,1078
KCA_04072025,D_slow,J,625
KCA_04072025,ND_slow,J,1097
KHT_04072025,D_slow,J,683
KHT_04072025,ND_slow,J,2382
KSN_04042025,D_slow,J,641
KSN_04042025,ND_slow,J,1358
MAO_04192025,D_slow,J,671
MAO_04192025,ND_slow,J,1247
MHE_04032025,D_slow,J,917
MHE_04032025,ND_slow,J,2198
MSN_04092025,D_slow,J,621
MSN_04092025,ND_slow,J,982
NMS_04112025,D_slow,J,552
NMS_04112025,ND_slow,J,1270
OMY_04202025,D_slow,J,614
OMY_04202025,ND_slow,J,1795
TCO_03272025,D_slow,J,871
TCO_03272025,ND_slow,J,1626
YWG_03262025,D_slow,J,399
YWG_03262025,ND_slow,J,1788
AMS_04142025,D_slow,K,437
AMS_04142025,ND_slow,K,1377
APM_04072025,D_slow,K,886
APM_04072025,ND_slow,K,1968
ARI_04162025,D_slow,K,763
ARI_04162025,ND_slow,K,1500
CJG_03242025,D_slow,K,1101
CJG_03242025,ND_slow,K,2344
CKM_04162025,D_slow,K,671
CKM_04162025,ND_slow,K,1392
CLE_03272025,D_slow,K,552
CLE_03272025,ND_slow,K,2263
EBZ_04182025,D_slow,K,875
EBZ_04182025,ND_slow,K,1895
ESU_04182025,D_slow,K,637
ESU_04182025,ND_slow,K,1519
JBO_04172025,D_slow,K,656
JBO_04172025,ND_slow,K,1588
JCN_04192025,D_slow,K,410
JCN_04192025,ND_slow,K,1189
JMY_03312025,D_slow,K,583
JMY_03312025,ND_slow,K,1128
JPK_04182025,D_slow,K,1032
JPK_04182025,ND_slow,K,1312
JWG_03272025,D_slow,K,1051
JWG_03272025,ND_slow,K,1542
JXI_04182025,D_slow,K,476
JXI_04182025,ND_slow,K,1396
KCA_04072025,D_slow,K,706
KCA_04072025,ND_slow,K,1205
KHT_04072025,D_slow,K,1162
KHT_04072025,ND_slow,K,2340
KSN_04042025,D_slow,K,947
KSN_04042025,ND_slow,K,1826
MAO_04192025,D_slow,K,644
MAO_04192025,ND_slow,K,1074
MHE_04032025,D_slow,K,978
MHE_04032025,ND_slow,K,2413
MSN_04092025,D_slow,K,641
MSN_04092025,ND_slow,K,1385
NMS_04112025,D_slow,K,598
NMS_04112025,ND_slow,K,1500
OMY_04202025,D_slow,K,898
OMY_04202025,ND_slow,K,2079
TCO_03272025,D_slow,K,1577
TCO_03272025,ND_slow,K,1860
YWG_03262025,D_slow,K,464
YWG_03262025,ND_slow,K,1465
AMS_04142025,D_slow,N,345
AMS_04142025,ND_slow,N,1481
APM_04072025,D_slow,N,495
APM_04072025,ND_slow,N,1243
ARI_04162025,D_slow,N,817
ARI_04162025,ND_slow,N,1523
CJG_03242025,D_slow,N,637
CJG_03242025,ND_slow,N,5106
CKM_04162025,D_slow,N,629
CKM_04162025,ND_slow,N,1189
CLE_03272025,D_slow,N,733
CLE_03272025,ND_slow,N,1477
EBZ_04182025,D_slow,N,575
EBZ_04182025,ND_slow,N,1772
ESU_04182025,D_slow,N,476
ESU_04182025,ND_slow,N,863
JBO_04172025,D_slow,N,395
JBO_04172025,ND_slow,N,1139
JCN_04192025,D_slow,N,483
JCN_04192025,ND_slow,N,1258
JMY_03312025,D_slow,N,418
JMY_03312025,ND_slow,N,710
JPK_04182025,D_slow,N,564
JPK_04182025,ND_slow,N,1158
JWG_03272025,D_slow,N,1120
JWG_03272025,ND_slow,N,1523
JXI_04182025,D_slow,N,476
JXI_04182025,ND_slow,N,1212
KCA_04072025,D_slow,N,518
KCA_04072025,ND_slow,N,1101
KHT_04072025,D_slow,N,510
KHT_04072025,ND_slow,N,2098
KSN_04042025,D_slow,N,737
KSN_04042025,ND_slow,N,1619
MAO_04192025,D_slow,N,641
MAO_04192025,ND_slow,N,1132
MHE_04032025,D_slow,N,656
MHE_04032025,ND_slow,N,2190
MSN_04092025,D_slow,N,614
MSN_04092025,ND_slow,N,1001
NMS_04112025,D_slow,N,583
NMS_04112025,ND_slow,N,1243
OMY_04202025,D_slow,N,579
OMY_04202025,ND_slow,N,1937
TCO_03272025,D_slow,N,967
TCO_03272025,ND_slow,N,1868
YWG_03262025,D_slow,N,449
YWG_03262025,ND_slow,N,1335
AMS_04142025,D_slow,P,391
AMS_04142025,ND_slow,P,2390
APM_04072025,D_slow,P,656
APM_04072025,ND_slow,P,2325
ARI_04162025,D_slow,P,890
ARI_04162025,ND_slow,P,1722
CJG_03242025,D_slow,P,901
CJG_03242025,ND_slow,P,4415
CKM_04162025,D_slow,P,537
CKM_04162025,ND_slow,P,1285
CLE_03272025,D_slow,P,503
CLE_03272025,ND_slow,P,2068
EBZ_04182025,D_slow,P,656
EBZ_04182025,ND_slow,P,2033
ESU_04182025,D_slow,P,445
ESU_04182025,ND_slow,P,1036
JBO_04172025,D_slow,P,468
JBO_04172025,ND_slow,P,1185
JCN_04192025,D_slow,P,449
JCN_04192025,ND_slow,P,1254
JMY_03312025,D_slow,P,495
JMY_03312025,ND_slow,P,967
JPK_04182025,D_slow,P,748
JPK_04182025,ND_slow,P,1266
JWG_03272025,D_slow,P,1128
JWG_03272025,ND_slow,P,1508
JXI_04182025,D_slow,P,621
JXI_04182025,ND_slow,P,1891
KCA_04072025,D_slow,P,679
KCA_04072025,ND_slow,P,1335
KHT_04072025,D_slow,P,579
KHT_04072025,ND_slow,P,2175
KSN_04042025,D_slow,P,625
KSN_04042025,ND_slow,P,1243
MAO_04192025,D_slow,P,552
MAO_04192025,ND_slow,P,1235
MHE_04032025,D_slow,P,909
MHE_04032025,ND_slow,P,1914
MSN_04092025,D_slow,P,556
MSN_04092025,ND_slow,P,951
NMS_04112025,D_slow,P,506
NMS_04112025,ND_slow,P,1634
OMY_04202025,D_slow,P,702
OMY_04202025,ND_slow,P,2098
TCO_03272025,D_slow,P,1251
TCO_03272025,ND_slow,P,1653
YWG_03262025,D_slow,P,403
YWG_03262025,ND_slow,P,1266
AMS_04142025,D_slow,S,303
AMS_04142025,ND_slow,S,867
APM_04072025,D_slow,S,387
APM_04072025,ND_slow,S,1297
ARI_04162025,D_slow,S,656
ARI_04162025,ND_slow,S,1339
CJG_03242025,D_slow,S,748
CJG_03242025,ND_slow,S,2006
CKM_04162025,D_slow,S,533
CKM_04162025,ND_slow,S,1020
CLE_03272025,D_slow,S,510
CLE_03272025,ND_slow,S,1492
EBZ_04182025,D_slow,S,483
EBZ_04182025,ND_slow,S,1028
ESU_04182025,D_slow,S,391
ESU_04182025,ND_slow,S,852
JBO_04172025,D_slow,S,479
JBO_04172025,ND_slow,S,1097
JCN_04192025,D_slow,S,307
JCN_04192025,ND_slow,S,1055
JMY_03312025,D_slow,S,445
JMY_03312025,ND_slow,S,629
JPK_04182025,D_slow,S,472
JPK_04182025,ND_slow,S,1089
JWG_03272025,D_slow,S,564
JWG_03272025,ND_slow,S,1676
JXI_04182025,D_slow,S,380
JXI_04182025,ND_slow,S,821
KCA_04072025,D_slow,S,433
KCA_04072025,ND_slow,S,829
KHT_04072025,D_slow,S,414
KHT_04072025,ND_slow,S,1857
KSN_04042025,D_slow,S,518
KSN_04042025,ND_slow,S,1469
MAO_04192025,D_slow,S,483
MAO_04192025,ND_slow,S,840
MHE_04032025,D_slow,S,641
MHE_04032025,ND_slow,S,1964
MSN_04092025,D_slow,S,499
MSN_04092025,ND_slow,S,982
NMS_04112025,D_slow,S,414
NMS_04112025,ND_slow,S,1205
OMY_04202025,D_slow,S,575
OMY_04202025,ND_slow,S,1623
TCO_03272025,D_slow,S,806
TCO_03272025,ND_slow,S,1715
YWG_03262025,D_slow,S,303
YWG_03262025,ND_slow,S,1243
AMS_04142025,D_slow,T,345
AMS_04142025,ND_slow,T,928
APM_04072025,D_slow,T,725
APM_04072025,ND_slow,T,1561
ARI_04162025,D_slow,T,614
ARI_04162025,ND_slow,T,1101
CJG_03242025,D_slow,T,771
CJG_03242025,ND_slow,T,1811
CKM_04162025,D_slow,T,575
CKM_04162025,ND_slow,T,1373
CLE_03272025,D_slow,T,479
CLE_03272025,ND_slow,T,1968
EBZ_04182025,D_slow,T,878
EBZ_04182025,ND_slow,T,1408
ESU_04182025,D_slow,T,418
ESU_04182025,ND_slow,T,875
JBO_04172025,D_slow,T,430
JBO_04172025,ND_slow,T,1254
JCN_04192025,D_slow,T,384
JCN_04192025,ND_slow,T,1028
JMY_03312025,D_slow,T,572
JMY_03312025,ND_slow,T,878
JPK_04182025,D_slow,T,602
JPK_04182025,ND_slow,T,1124
JWG_03272025,D_slow,T,832
JWG_03272025,ND_slow,T,1588
JXI_04182025,D_slow,T,468
JXI_04182025,ND_slow,T,1178
KCA_04072025,D_slow,T,713
KCA_04072025,ND_slow,T,821
KHT_04072025,D_slow,T,921
KHT_04072025,ND_slow,T,1891
KSN_04042025,D_slow,T,629
KSN_04042025,ND_slow,T,1469
MAO_04192025,D_slow,T,506
MAO_04192025,ND_slow,T,848
MHE_04032025,D_slow,T,844
MHE_04032025,ND_slow,T,1615
MSN_04092025,D_slow,T,667
MSN_04092025,ND_slow,T,859
NMS_04112025,D_slow,T,526
NMS_04112025,ND_slow,T,882
OMY_04202025,D_slow,T,591
OMY_04202025,ND_slow,T,1626
TCO_03272025,D_slow,T,982
TCO_03272025,ND_slow,T,1531
YWG_03262025,D_slow,T,345
YWG_03262025,ND_slow,T,1243
AMS_04142025,D_slow,X,376
AMS_04142025,ND_slow,X,775
APM_04072025,D_slow,X,687
APM_04072025,ND_slow,X,1596
ARI_04162025,D_slow,X,667
ARI_04162025,ND_slow,X,1239
CJG_03242025,D_slow,X,771
CJG_03242025,ND_slow,X,2091
CKM_04162025,D_slow,X,579
CKM_04162025,ND_slow,X,1247
CLE_03272025,D_slow,X,433
CLE_03272025,ND_slow,X,1392
EBZ_04182025,D_slow,X,737
EBZ_04182025,ND_slow,X,1228
ESU_04182025,D_slow,X,361
ESU_04182025,ND_slow,X,1216
JBO_04172025,D_slow,X,541
JBO_04172025,ND_slow,X,1277
JCN_04192025,D_slow,X,326
JCN_04192025,ND_slow,X,994
JMY_03312025,D_slow,X,549
JMY_03312025,ND_slow,X,1043
JPK_04182025,D_slow,X,652
JPK_04182025,ND_slow,X,1109
JWG_03272025,D_slow,X,832
JWG_03272025,ND_slow,X,1657
JXI_04182025,D_slow,X,445
JXI_04182025,ND_slow,X,1078
KCA_04072025,D_slow,X,491
KCA_04072025,ND_slow,X,629
KHT_04072025,D_slow,X,878
KHT_04072025,ND_slow,X,1742
KSN_04042025,D_slow,X,698
KSN_04042025,ND_slow,X,1208
MAO_04192025,D_slow,X,579
MAO_04192025,ND_slow,X,875
MHE_04032025,D_slow,X,940
MHE_04032025,ND_slow,X,1876
MSN_04092025,D_slow,X,560
MSN_04092025,ND_slow,X,771
NMS_04112025,D_slow,X,464
NMS_04112025,ND_slow,X,947
OMY_04202025,D_slow,X,618
OMY_04202025,ND_slow,X,1611
TCO_03272025,D_slow,X,821
TCO_03272025,ND_slow,X,1822
YWG_03262025,D_slow,X,330
YWG_03262025,ND_slow,X,890
AMS_04142025,D_slow,Z,284
AMS_04142025,ND_slow,Z,1481
APM_04072025,D_slow,Z,499
APM_04072025,ND_slow,Z,1346
ARI_04162025,D_slow,Z,744
ARI_04162025,ND_slow,Z,1251
CJG_03242025,D_slow,Z,621
CJG_03242025,ND_slow,Z,3000
CKM_04162025,D_slow,Z,618
CKM_04162025,ND_slow,Z,1105
CLE_03272025,D_slow,Z,518
CLE_03272025,ND_slow,Z,1876
EBZ_04182025,D_slow,Z,575
EBZ_04182025,ND_slow,Z,1500
ESU_04182025,D_slow,Z,292
ESU_04182025,ND_slow,Z,713
JBO_04172025,D_slow,Z,449
JBO_04172025,ND_slow,Z,1051
JCN_04192025,D_slow,Z,380
JCN_04192025,ND_slow,Z,1132
JMY_03312025,D_slow,Z,453
JMY_03312025,ND_slow,Z,667
JPK_04182025,D_slow,Z,595
JPK_04182025,ND_slow,Z,917
JWG_03272025,D_slow,Z,1013
JWG_03272025,ND_slow,Z,1274
JXI_04182025,D_slow,Z,541
JXI_04182025,ND_slow,Z,1066
KCA_04072025,D_slow,Z,526
KCA_04072025,ND_slow,Z,955
KHT_04072025,D_slow,Z,694
KHT_04072025,ND_slow,Z,2298
KSN_04042025,D_slow,Z,844
KSN_04042025,ND_slow,Z,990
MAO_04192025,D_slow,Z,595
MAO_04192025,ND_slow,Z,940
MHE_04032025,D_slow,Z,702
MHE_04032025,ND_slow,Z,1979
MSN_04092025,D_slow,Z,595
MSN_04092025,ND_slow,Z,809
NMS_04112025,D_slow,Z,376
NMS_04112025,ND_slow,Z,1239
OMY_04202025,D_slow,Z,614
OMY_04202025,ND_slow,Z,2198
TCO_03272025,D_slow,Z,840
TCO_03272025,ND_slow,Z,1481
YWG_03262025,D_slow,Z,372
YWG_03262025,ND_slow,Z,813
